# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.308790532913373883e-02,3.825326965232914429e-14,1.350340418727218695e-14
5.310150192381906525e-02,5.594301581133505319e-14,1.974788458140127265e-14
5.311510548486501893e-02,3.859467219952749840e-14,1.362391928643320569e-14
5.312871601762688550e-02,1.686292952519042999e-14,5.952614122392221833e-15
5.314233352746548789e-02,2.495285008938088615e-14,8.808356081551452871e-15
5.315595801974708212e-02,8.291114066845323466e-14,2.926763265596399017e-14
5.316958949984349619e-02,6.881264821588066182e-14,2.429086482020587255e-14
5.318322797313202593e-02,2.709706710026116391e-14,9.565264686392189903e-15
5.319687344499551829e-02,7.088442160694395355e-14,2.502220082725121424e-14
5.321052592082230193e-02,8.270859426057260497e-14,2.919613377398213030e-14
5.322418540600626358e-02,1.691088769017258464e-13,5.969543354630922032e-14
5.323785190594686884e-02,3.847552227133071099e-14,1.358185936177973991e-14
5.325152542604907197e-02,1.579641348462976691e-13,5.576133960074307450e-14
5.326520597172339222e-02,7.662578516274439575e-14,2.704890216244877039e-14
5.327889354838592079e-02,4.510691684660954001e-14,1.592274164685316774e-14
5.329258816145831384e-02,6.631156148622908553e-14,2.340798120463886694e-14
5.330628981636784114e-02,1.010441179561131635e-13,3.566857363850794753e-14
5.331999851854726802e-02,7.925990588215907374e-14,2.797874677640215006e-14
5.333371427343503585e-02,1.056703451703617956e-13,3.730163184513771136e-14
5.334743708647514404e-02,2.242727348095541153e-13,7.916827538777259908e-14
5.336116696311719865e-02,5.464074578875712857e-14,1.928818326343126527e-14
5.337490390881641233e-02,7.810618220040796792e-14,2.757148231674401218e-14
5.338864792903364603e-02,1.183493066287793250e-13,4.177730523995909806e-14
5.340239902923533954e-02,4.824382127828310857e-14,1.703006891123393588e-14
5.341615721489362256e-02,4.766652278208536172e-14,1.682628254207613329e-14
5.342992249148619671e-02,3.328412842477858748e-14,1.174929733394684064e-14
5.344369486449648127e-02,1.801904371256012377e-14,6.360722430533723667e-15
5.345747433941351601e-02,4.353784845894176116e-14,1.536886050600644228e-14
5.347126092173198203e-02,6.320802322764055544e-14,2.231243219935711540e-14
5.348505461695229196e-02,3.399148551948579491e-14,1.199899438837848433e-14
5.349885543058044424e-02,4.201535568684191410e-14,1.483142055745519606e-14
5.351266336812822433e-02,1.017176918558596951e-13,3.590634522511847059e-14
5.352647843511304515e-02,8.230779140280449994e-14,2.905465036518998732e-14
5.354030063705805115e-02,3.754484978022277227e-14,1.325333197241863805e-14
5.355412997949203502e-02,7.876241493929062565e-14,2.780313247356959064e-14
5.356796646794956263e-02,3.750638558086198521e-13,1.323975411004427974e-13
5.358181010797091748e-02,1.864302665772842231e-14,6.580988410178132645e-15
5.359566090510208686e-02,3.984582520698551096e-14,1.406557629806588498e-14
5.360951886489480345e-02,9.749147178262016027e-14,3.441448953926491231e-14
5.362338399290654534e-02,9.652551304696768015e-14,3.407350610557959117e-14
5.363725629470052908e-02,1.295131161346177275e-13,4.571812999552005462e-14
5.365113577584575827e-02,2.009760601390394688e-13,7.094454922908093444e-14
5.366502244191697496e-02,1.144347169881352299e-13,4.039545509681173145e-14
5.367891629849470825e-02,1.048294276664294171e-13,3.700478796624957965e-14
5.369281735116526733e-02,1.520613924807552234e-13,5.367767154570659230e-14
5.370672560552074148e-02,1.470322898741682893e-13,5.190239832558140129e-14
5.372064106715900011e-02,8.744489282773325114e-14,3.086804716818983722e-14
5.373456374168376209e-02,3.730192342454286216e-13,1.316757896886362862e-13
5.374849363470452640e-02,2.523999353993244273e-13,8.909717719596152171e-14
5.376243075183662068e-02,2.024101449941473445e-13,7.145078118293400956e-14
5.377637509870118043e-02,3.273806268097458933e-13,1.155653612638403001e-13
5.379032668092517677e-02,1.768127092546023117e-13,6.241488636687460712e-14
5.380428550414143724e-02,9.335097353318340809e-14,3.295289365721374392e-14
5.381825157398865966e-02,2.827875397869196710e-13,9.982400154478263638e-14
5.383222489611134282e-02,6.953090785322319771e-14,2.454441047218778730e-14
5.384620547615986963e-02,1.591184612083739359e-13,5.616881680655599623e-14
5.386019331979052110e-02,2.520129880172369978e-13,8.896058477008465502e-14
5.387418843266544854e-02,3.689127391644461797e-13,1.302261969250494931e-13
5.388819082045263192e-02,3.512781853051135621e-13,1.240011994127050849e-13
5.390220048882603254e-02,2.428676315277689056e-13,8.573227392930242326e-14
5.391621744346544731e-02,2.605595413953591911e-13,9.197751811256178800e-14
5.393024169005664059e-02,7.677132032756128819e-14,2.710027607562913330e-14
5.394427323429122623e-02,9.149944694478700045e-14,3.229930477150980641e-14
5.395831208186680633e-02,9.124555828629434076e-14,3.220968207506189761e-14
5.397235823848687414e-02,1.883451142786106355e-13,6.648582534034954732e-14
5.398641170986086951e-02,7.983789409627063263e-14,2.818277661598353187e-14
5.400047250170420671e-02,6.343666523462703040e-14,2.239314282782334061e-14
5.401454061973822579e-02,1.921355321351613059e-13,6.782384284371194156e-14
5.402861606969024816e-02,2.101469044872903131e-14,7.418185728401348062e-15
5.404269885729355571e-02,5.372328943780931891e-14,1.896432117154668986e-14
5.405678898828742557e-02,9.434065915373592047e-14,3.330225268126877769e-14
5.407088646841707452e-02,7.695726845369520646e-14,2.716591576415440604e-14
5.408499130343379091e-02,8.738726540717098601e-14,3.084770468873135770e-14
5.409910349909480276e-02,7.750912722428262353e-14,2.736072191017176406e-14
5.411322306116339576e-02,8.953499263728736153e-14,3.160585240096243493e-14
5.412734999540881609e-02,8.309514545371682440e-14,2.933258634516203864e-14
5.414148430760637454e-02,6.829413024304155067e-14,2.410782797579366495e-14
5.415562600353741873e-02,6.372531880695671238e-14,2.249503753885571864e-14
5.416977508898934701e-02,8.857369335550416099e-14,3.126651375449296697e-14
5.418393156975555291e-02,2.295700789667518907e-13,8.103823787526341049e-14
5.419809545163555009e-02,1.035886991109097453e-13,3.656681078615113870e-14
5.421226674043488208e-02,1.208510869194398052e-13,4.266043368256224764e-14
5.422644544196517785e-02,1.086506138855075803e-13,3.835366670158417280e-14
5.424063156204415176e-02,7.501079307417071202e-14,2.647880995518226004e-14
5.425482510649558970e-02,3.448342970249261956e-13,1.217265068497989463e-13
5.426902608114941851e-02,3.843977819888911884e-13,1.356924170420785861e-13
5.428323449184158794e-02,4.532694449901439986e-13,1.600041140815208140e-13
5.429745034441425811e-02,1.215357065398283553e-13,4.290210440855940461e-14
5.431167364471564674e-02,1.101843172623157795e-13,3.889506399359746828e-14
5.432590439860011944e-02,8.084165005852111504e-14,2.853710247065795116e-14
5.434014261192818274e-02,7.480456859999896350e-14,2.640601271579963400e-14
5.435438829056648408e-02,2.454457588715653330e-13,8.664235288166255564e-14
5.436864144038781876e-02,2.210005267118886908e-13,7.801318592929670153e-14
5.438290206727115772e-02,7.711538404096168617e-14,2.722173056645947450e-14
5.439717017710162666e-02,1.338016624034842146e-13,4.723198682842992218e-14
5.441144577577056163e-02,1.007045996081807097e-13,3.554872366168778690e-14
5.442572886917542568e-02,1.603063295321478697e-13,5.658813432484819711e-14
5.444001946321991303e-02,1.140774829659361376e-13,4.026935148697545366e-14
5.445431756381394206e-02,7.325375516324728226e-14,2.585857557262629054e-14
5.446862317687361371e-02,6.957432350195164960e-14,2.455973619618892943e-14
5.448293630832122536e-02,2.849015686384368417e-14,1.005702537293681959e-14
5.449725696408533326e-02,1.080238743935576442e-13,3.813242766092584412e-14
5.451158515010072481e-02,3.679492587408278156e-13,1.298860883355122238e-13
5.452592087230845319e-02,3.955740580377551113e-14,1.396376424873275526e-14
5.454026413665574724e-02,3.443334062883045792e-14,1.215496924197715099e-14
5.455461494909617792e-02,4.107038944315153213e-14,1.449784747343249074e-14
5.456897331558952652e-02,1.871013014320748872e-13,6.604675940552243310e-14
5.458333924210190258e-02,4.871981284724628874e-14,1.719809393507793813e-14
5.459771273460565372e-02,2.612031164830831280e-13,9.220470011852833303e-14
5.461209379907943501e-02,1.391359676436293576e-14,4.911499657820115711e-15
5.462648244150822285e-02,6.510588043087380377e-14,2.298237579209845215e-14
