# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.203534053702649209e-02,3.250034860928234472e-12,1.147262305907666799e-12
5.204840325554310754e-02,3.393919483806877115e-12,1.198053577783827655e-12
5.206147253411907982e-02,3.334565689028512573e-12,1.177101688227064967e-12
5.207454837769732309e-02,3.173377301152102661e-12,1.120202187306692236e-12
5.208763079122569195e-02,3.333031860892875161e-12,1.176560246895184770e-12
5.210071977965703011e-02,3.291088285045099685e-12,1.161754164620920123e-12
5.211381534794914949e-02,3.129253699426434594e-12,1.104626555897531334e-12
5.212691750106490662e-02,3.210734954828279511e-12,1.133389439054382593e-12
5.214002624397207769e-02,3.360227622805958308e-12,1.186160350850503296e-12
5.215314158164344877e-02,3.326171686167760109e-12,1.174138605217219250e-12
5.216626351905686437e-02,3.205015471989580186e-12,1.131370461612321828e-12
5.217939206119510953e-02,3.345119536245200053e-12,1.180827196294555515e-12
5.219252721304602771e-02,3.051474006682229550e-12,1.077170324358826911e-12
5.220566897960248615e-02,3.235182230133977681e-12,1.142019327237293971e-12
5.221881736586236888e-02,3.693618141223472650e-12,1.303847203851885815e-12
5.223197237682859068e-02,3.227767455851604325e-12,1.139401911915616350e-12
5.224513401750914554e-02,3.210673858093666532e-12,1.133367871907064285e-12
5.225830229291700962e-02,3.134279491794077481e-12,1.106400660603309378e-12
5.227147720807029385e-02,3.023725968498149329e-12,1.067375266879846555e-12
5.228465876799209822e-02,3.110135814089414945e-12,1.097877942373563370e-12
5.229784697771067137e-02,3.297913266370258831e-12,1.164163383028701347e-12
5.231104184225923021e-02,3.424317018910540277e-12,1.208783907675420672e-12
5.232424336667615417e-02,3.152261659481222015e-12,1.112748365796871253e-12
5.233745155600491583e-02,3.177759330320118331e-12,1.121749043603001760e-12
5.235066641529403236e-02,3.235904106263177660e-12,1.142274149510901706e-12
5.236388794959712795e-02,3.394874717526293872e-12,1.198390775286781609e-12
5.237711616397295461e-02,3.334857125235938876e-12,1.177204565208286342e-12
5.239035106348538529e-02,3.171861702924918672e-12,1.119667181132496129e-12
5.240359265320339993e-02,3.211472813203768188e-12,1.133649903060930021e-12
5.241684093820107165e-02,3.192074059850847531e-12,1.126802143127349114e-12
5.243009592355766385e-02,3.290643430097231287e-12,1.161597130824322656e-12
5.244335761435754001e-02,3.700862131416478038e-12,1.306404332390016688e-12
5.245662601569021227e-02,3.377484646976317730e-12,1.192252080382640022e-12
5.246990113265037614e-02,3.164067924555565591e-12,1.116915977368114645e-12
5.248318297033785496e-02,3.263457877451730918e-12,1.152000630740460882e-12
5.249647153385763459e-02,3.454499481655142579e-12,1.219438317024265307e-12
5.250976682831987735e-02,3.272417368466440023e-12,1.155163331068653173e-12
5.252306885883994969e-02,3.210323250106955761e-12,1.133244107287755304e-12
5.253637763053837367e-02,3.361365393480313080e-12,1.186561983898550409e-12
5.254969314854084778e-02,3.206311377885854516e-12,1.131827916393706600e-12
5.256301541797834403e-02,2.980797052653579951e-12,1.052221359586713617e-12
5.257634444398693457e-02,3.066691221279712011e-12,1.082542001111738309e-12
5.258968023170797895e-02,3.342214508751317159e-12,1.179801721589214920e-12
5.260302278628802009e-02,3.333266426744712076e-12,1.176643048640883352e-12
5.261637211287883975e-02,3.086605979905912096e-12,1.089571910906786995e-12
5.262972821663745859e-02,3.209318417216020208e-12,1.132889401277255005e-12
5.264309110272610837e-02,3.258377268957793924e-12,1.150207175942101150e-12
5.265646077631225275e-02,3.096013024759550936e-12,1.092892597740121450e-12
5.266983724256867755e-02,3.236503684011573269e-12,1.142485800456085206e-12
5.268322050667337275e-02,3.272502617308873797e-12,1.155193423910032433e-12
5.269661057380957414e-02,3.043469149582666853e-12,1.074344609802681437e-12
5.271000744916583269e-02,3.304985585042168432e-12,1.166659911519885434e-12
5.272341113793595213e-02,3.215864573795030297e-12,1.135200194549645717e-12
5.273682164531903055e-02,3.140131219951907129e-12,1.108466320643023145e-12
5.275023897651945348e-02,3.259523526343291478e-12,1.150611804799181866e-12
5.276366313674690778e-02,3.313437132439237552e-12,1.169643307751050834e-12
5.277709413121637466e-02,3.256077006321526974e-12,1.149395183231499015e-12
5.279053196514816443e-02,3.279716270502997819e-12,1.157739843487558152e-12
5.280397664376788175e-02,3.298121695854448104e-12,1.164236958636620192e-12
5.281742817230647424e-02,3.209249884972284498e-12,1.132865209395216407e-12
5.283088655600021166e-02,3.159303205618238900e-12,1.115234031583238262e-12
5.284435180009071364e-02,3.134595071004496282e-12,1.106512060064587090e-12
5.285782390982494972e-02,3.298770429893801979e-12,1.164465961752511935e-12
5.287130289045518378e-02,3.235832706662679623e-12,1.142248945451925828e-12
5.288478874723912676e-02,3.260038178829913755e-12,1.150793477126959411e-12
5.289828148543980479e-02,3.346533901886202531e-12,1.181326467365829524e-12
5.291178111032562165e-02,3.165235657228437603e-12,1.117328187001638433e-12
