# E_low [keV], E_up [keV], diff. flux [photons/s/cm^2/keV]
1.927524913190936107e-01,1.940885877592778419e-01,4.996662948073990473e-02
1.940885877592778419e-01,1.954339455775394307e-01,4.858419513480681518e-02
1.954339455775394307e-01,1.967886289706844982e-01,4.788803760671068305e-02
1.967886289706844982e-01,1.981527025805097930e-01,4.712351224837470209e-02
1.981527025805097930e-01,1.995262314968879735e-01,4.748502955126213815e-02
1.995262314968879735e-01,2.009092812608727907e-01,4.641812537960525453e-02
2.009092812608727907e-01,2.023019178678271968e-01,4.580898425840775057e-02
2.023019178678271968e-01,2.037042077705717991e-01,4.610475072457518447e-02
2.037042077705717991e-01,2.051162178825565729e-01,4.499208663150849191e-02
2.051162178825565729e-01,2.065380155810529195e-01,4.495100914211856702e-02
2.065380155810529195e-01,2.079696687103695929e-01,4.420511741998824073e-02
2.079696687103695929e-01,2.094112455850892507e-01,4.411454477048443179e-02
2.094112455850892507e-01,2.108628149933289841e-01,4.379801945047498424e-02
2.108628149933289841e-01,2.123244462000219157e-01,4.299166168484087197e-02
2.123244462000219157e-01,2.137962089502232488e-01,4.365399650174273810e-02
2.137962089502232488e-01,2.152781734724372731e-01,4.273021446197237255e-02
2.152781734724372731e-01,2.167704104819695166e-01,4.177099404694904067e-02
2.167704104819695166e-01,2.182729911843001303e-01,4.189966526918006973e-02
2.182729911843001303e-01,2.197859872784825308e-01,4.113908684226586648e-02
2.197859872784825308e-01,2.213094709605637478e-01,4.065219579779343756e-02
2.213094709605637478e-01,2.228435149270304172e-01,4.075228162024973483e-02
2.228435149270304172e-01,2.243881923782766186e-01,4.030256483591794503e-02
2.243881923782766186e-01,2.259435770220977469e-01,3.994875975181622074e-02
2.259435770220977469e-01,2.275097430772070606e-01,4.025686646689567716e-02
2.275097430772070606e-01,2.290867652767772933e-01,4.690982675369273491e-02
2.290867652767772933e-01,2.306747188720069119e-01,3.907568573986628518e-02
2.306747188720069119e-01,2.322736796357106892e-01,3.907133718318550608e-02
2.322736796357106892e-01,2.338837238659354778e-01,3.963750495186861567e-02
2.338837238659354778e-01,2.355049283896009649e-01,3.860456690143288655e-02
2.355049283896009649e-01,2.371373705661655173e-01,3.799487838204577278e-02
2.371373705661655173e-01,2.387811282913177569e-01,3.743039252773671527e-02
2.387811282913177569e-01,2.404362800006933365e-01,3.651696178609124821e-02
2.404362800006933365e-01,2.421029046736178081e-01,3.668922844344620765e-02
2.421029046736178081e-01,2.437810818368752463e-01,3.633612137796580349e-02
2.437810818368752463e-01,2.454708915685030468e-01,3.660720006646752539e-02
2.454708915685030468e-01,2.471724145016130358e-01,3.576698160087021794e-02
2.471724145016130358e-01,2.488857318282390874e-01,3.590984072107339387e-02
2.488857318282390874e-01,2.506109253032113848e-01,3.651584940803812018e-02
2.506109253032113848e-01,2.523480772480574674e-01,3.574472617503211130e-02
2.523480772480574674e-01,2.540972705549305322e-01,3.563272402428789565e-02
2.540972705549305322e-01,2.558585886905646034e-01,3.592710265496881078e-02
2.558585886905646034e-01,2.576321157002575690e-01,3.458275022473094457e-02
2.576321157002575690e-01,2.594179362118814169e-01,3.391588407646739523e-02
2.594179362118814169e-01,2.612161354399206714e-01,3.343464062930816272e-02
2.612161354399206714e-01,2.630267991895381408e-01,3.273040918559957241e-02
2.630267991895381408e-01,2.648500138606700860e-01,3.326031060306526566e-02
2.648500138606700860e-01,2.666858664521479239e-01,3.310075782396348920e-02
2.666858664521479239e-01,2.685344445658507384e-01,3.177072834246800342e-02
2.685344445658507384e-01,2.703958364108843271e-01,3.488428843900771847e-02
2.703958364108843271e-01,2.722701308077912774e-01,3.576216348057884714e-02
2.722701308077912774e-01,2.741574171927882442e-01,3.092805781830245890e-02
2.741574171927882442e-01,2.760577856220346460e-01,3.045666409163018742e-02
2.760577856220346460e-01,2.779713267759288398e-01,3.030890443752684918e-02
2.779713267759288398e-01,2.798981319634363252e-01,3.821229459880550600e-02
2.798981319634363252e-01,2.818382931264453717e-01,3.429153951809620071e-02
2.818382931264453717e-01,2.837919028441556746e-01,3.112082927128183643e-02
2.837919028441556746e-01,2.857590543374946557e-01,3.274976624160148148e-02
2.857590543374946557e-01,2.877398414735669596e-01,2.994742988405244000e-02
2.877398414735669596e-01,2.897343587701322609e-01,2.965283765654356390e-02
2.897343587701322609e-01,2.917427014001167662e-01,2.861508653892416015e-02
2.917427014001167662e-01,2.937649651961530828e-01,2.805641964508612252e-02
2.937649651961530828e-01,2.958012466551546704e-01,2.783971640085633123e-02
2.958012466551546704e-01,2.978516429429189372e-01,2.813415567631919259e-02
2.978516429429189372e-01,2.999162518987651405e-01,2.833628535231794837e-02
2.999162518987651405e-01,3.019951720402015982e-01,3.733054575815297760e-02
3.019951720402015982e-01,3.040885025676279274e-01,3.153837857751570772e-02
3.040885025676279274e-01,3.061963433690677028e-01,3.162085253427850129e-02
3.061963433690677028e-01,3.083187950249354214e-01,3.006955782141498140e-02
3.083187950249354214e-01,3.104559588128355530e-01,2.794135085310813990e-02
3.104559588128355530e-01,3.126079367123955066e-01,2.641355459320551477e-02
3.126079367123955066e-01,3.147748314101315725e-01,2.696778886637999154e-02
3.147748314101315725e-01,3.169567463043491129e-01,2.664747453803609917e-02
3.169567463043491129e-01,3.191537855100761711e-01,2.656678291655638000e-02
3.191537855100761711e-01,3.213660538640317199e-01,2.674757718500536327e-02
3.213660538640317199e-01,3.235936569296282705e-01,2.529174431373559101e-02
3.235936569296282705e-01,3.258367010020087884e-01,2.562234250748966075e-02
3.258367010020087884e-01,3.280952931131190242e-01,2.994902493968190985e-02
3.280952931131190242e-01,3.303695410368148178e-01,2.628362617908201748e-02
3.303695410368148178e-01,3.326595532940045397e-01,2.954193501495598964e-02
3.326595532940045397e-01,3.349654391578276713e-01,2.496110368038313362e-02
3.349654391578276713e-01,3.372873086588689118e-01,2.482684842931023525e-02
3.372873086588689118e-01,3.396252725904084224e-01,2.663716046321908115e-02
3.396252725904084224e-01,3.419794425137088756e-01,2.304674648720941160e-02
3.419794425137088756e-01,3.443499307633385298e-01,2.335065725523119071e-02
3.443499307633385298e-01,3.467368504525316641e-01,2.694925749216829300e-02
3.467368504525316641e-01,3.491403154785861496e-01,2.388278933750866834e-02
3.491403154785861496e-01,3.515604405282981570e-01,2.816781146672611702e-02
3.515604405282981570e-01,3.539973410834347245e-01,2.500318572064821540e-02
3.539973410834347245e-01,3.564511334262442932e-01,2.497739692443971468e-02
3.564511334262442932e-01,3.589219346450052694e-01,2.547546346388691527e-02
3.589219346450052694e-01,3.614098626396133329e-01,2.363695613704953555e-02
3.614098626396133329e-01,3.639150361272071588e-01,2.128579713507173371e-02
3.639150361272071588e-01,3.664375746478333307e-01,4.261080349671307610e-02
3.664375746478333307e-01,3.689775985701503891e-01,2.934152739847553995e-02
3.689775985701503891e-01,3.715352290971725702e-01,2.958176595700767048e-02
3.715352290971725702e-01,3.741105882720534015e-01,2.100577199412402563e-02
3.741105882720534015e-01,3.767037989839089329e-01,2.307679311190295041e-02
3.767037989839089329e-01,3.793149849736818791e-01,3.092602053690888045e-02
3.793149849736818791e-01,3.819442708400465070e-01,3.305986108013671265e-02
3.819442708400465070e-01,3.845917820453535474e-01,1.914497645459259725e-02
3.845917820453535474e-01,3.872576449216171834e-01,2.390980642066049822e-02
3.872576449216171834e-01,3.899419866765433951e-01,1.835518098746604862e-02
3.899419866765433951e-01,3.926449353995998259e-01,1.954994889020171198e-02
3.926449353995998259e-01,3.953666200681278942e-01,1.843525566009033764e-02
3.953666200681278942e-01,3.981071705534972027e-01,1.943596648429786120e-02
3.981071705534972027e-01,4.008667176273028043e-01,1.888680099611833932e-02
4.008667176273028043e-01,4.036453929676049324e-01,1.965035783535049041e-02
4.036453929676049324e-01,4.064433291652127522e-01,2.953441542165045203e-02
4.064433291652127522e-01,4.092606597300108562e-01,1.719132157595346100e-02
4.092606597300108562e-01,4.120975190973302227e-01,1.698360297192115509e-02
4.120975190973302227e-01,4.149540426343629185e-01,1.679945683040994994e-02
4.149540426343629185e-01,4.178303666466217647e-01,1.682834424463321502e-02
4.178303666466217647e-01,4.207266283844440791e-01,1.753317747076420588e-02
4.207266283844440791e-01,4.236429660495411031e-01,1.682299224974305452e-02
4.236429660495411031e-01,4.265795188015926720e-01,1.693979229176247395e-02
4.265795188015926720e-01,4.295364267648872914e-01,1.665211318836386928e-02
